fractional.publish,fractional.site,fractional.obs_time,fractional.longitude,fractional.latitude,fractional.persist,fractional.crust,fractional.dist,fractional.rock,fractional.green,fractional.dead,fractional.litter,fractional.crypto,fractional.mid_g,fractional.mid_d,fractional.mid_b,fractional.crn,fractional.over_g,fractional.over_d,fractional.over_b,fractional.num_points,fractional.unoccluded,fractional.obs_key,fractional_chips.obs_key,fractional_chips.filename,fractional_chips.timelag,fractional_chips.b1_sf_mn,fractional_chips.b2_sf_mn,fractional_chips.b3_sf_mn,fractional_chips.b4_sf_mn,fractional_chips.b5_sf_mn,fractional_chips.b6_sf_mn,fractional_chips.b1_sf_sd,fractional_chips.b2_sf_sd,fractional_chips.b3_sf_sd,fractional_chips.b4_sf_sd,fractional_chips.b5_sf_sd,fractional_chips.b6_sf_sd,fractional_chips.b1_fc_mn,fractional_chips.b2_fc_mn,fractional_chips.b3_fc_mn,fractional_chips.b4_fc_mn,fractional_chips.b1_fc_sd,fractional_chips.b2_fc_sd,fractional_chips.b3_fc_sd,fractional_chips.b4_fc_sd,fractional_chips.count
y,nam-005,1/05/2012,150.5478925,-31.54601727,0,6.4,0,0,38.1,51,4.5,0,0,0,0,0,0,0,0,202,202,15054789_03154601_20120501_143000,15054789_03154601_20120501_143000,l7tmre_p090r082_20120509_dbgm6.img,8,410,727.3333333,977.1111111,2215.777778,2601.111111,1549.333333,36.67878588,63.81918903,41.19451,113.7001688,56.87890537,70.82058709,105.6666667,134.4444444,158.7777778,112.5555556,3.887301263,2.114033066,2.528845928,112.5555556,9
n,nsw060,19/04/2012,141.67912,-31.01782,0,14,0,14.7,33.7,31,4.3,2.3,0,0,0,0,0,0,0,300,300,14167912_03101782_20120419_000000,14167912_03101782_20120419_000000,l7tmre_p096r081_20120504_dbgm4.img,15,524.8888889,902.3333333,1149.222222,2329.666667,2408.222222,1571.888889,23.0913377,16.73983937,44.25877886,36.60601044,49.53287971,71.40097174,116.8888889,128.7777778,153,111.6666667,5.342584569,3.119037522,5.981452815,111.6666667,9
y,ariz13,5/04/2003,141.3310026,-19.73651213,0,59.9,0,0,1,5,34.2,0,0,0,0,0,0,0,0,202,202,14133100_01973651_20030405_000000,14133100_01973651_20030405_000000,l7tmre_p098r074_20030408_dbgm4.img,3,721,1104.444444,1434.888889,1934.555556,2767.222222,2145.111111,17.44833644,39.40984398,46.17946741,62.63316677,100.5880242,76.50917802,132.4444444,104.6666667,161.4444444,110,4.192880503,1.054092553,4.716663395,110,9
y,vic2017025,8/03/2017,142.83276,-37.27456,0,0,7.7,0,0,16,76.3,0,0,0,0,0,0,0,0,300,300,14283276_03727456_20170307_000000,14283276_03727456_20170307_000000,l8olre_p094r086_20170309_dbgm4.img,1,624.5555556,822.8888889,1119.555556,1926.666667,3571.111111,2412.888889,21.06134485,30.18625311,41.44638065,82.30566337,110.2436135,99.94603482,104.3333333,113.2222222,181.2222222,110.6666667,1.763834207,1.227262335,2.698879511,110.6666667,9
y,fvp06,1/11/2016,147.7502,-28.93993,16.7,32.3,0.3,0,45.7,9.7,12,0,0.3,0,0,25.7,15.7,0,4.7,300,300,14775020_02893993_20161102_000000,14775020_02893993_20161102_000000,l7tmre_p092r080_20161026_dbgm5.img,7,580.5555556,852.5555556,1034.222222,2430.777778,2052.666667,1546.222222,108.5644827,118.8295802,177.5123018,111.9878741,295.2558213,350.9063749,134.3333333,138,126.3333333,112.4444444,7.845734864,5.944184833,3.527668415,112.4444444,9
y,chat19,3/04/2004,145.4387491,-19.6753312,0.5,1.5,0,1,81.5,12.5,3.5,0,0.5,0,0,2.5,0,2.5,0,200,200,14543874_01967533_20040403_000000,14543874_01967533_20040403_000000,l5tmre_p095r074_20040412_dbgm5.img,9,445.7777778,710.3333333,928.4444444,2076.333333,2587.444444,1617.777778,11.97012743,24.42221211,10.86391694,29.65355516,47.19253969,28.54928595,106.3333333,134.3333333,157.8888889,113,1.825741858,1.154700538,1.728483243,113,9
y,vic2017039,16/03/2017,142.32353,-36.62113,0,0,18.5,0,0,5.5,76,0,0,0,0,0,0,0,0,200,200,14232353_03662113_20170315_000000,14232353_03662113_20170315_000000,l8olre_p095r085_20170316_dbgm4.img,0,1021.777778,1303.111111,1720.111111,2556.333333,3784.111111,2619.444444,32.02005544,51.11739092,76.93928984,117.8039803,224.8705526,146.9150254,114.8888889,107.4444444,176.1111111,107.6666667,1.662958839,0.684934889,1.594744455,107.6666667,9
y,vic2017001,27/02/2017,142.65413,-37.79484,0,0,12,0,3.7,13.3,71,0,0,0,0,0,0,0,0,300,300,14265413_03779484_20170227_000000,14265413_03779484_20170227_000000,l7tmre_p094r086_20170301_dbgm4.img,2,623.2222222,880.2222222,1227.555556,2043.777778,3223.777778,2059.555556,44.55403156,35.18768022,68.85751974,82.55877069,87.60235636,73.04353513,103.6666667,115.5555556,179.8888889,110.6666667,3.091206165,2.216659705,2.997941681,110.6666667,9
y,chat13,25/10/2004,146.4996257,-19.77882649,3.8,23.3,0,0.7,5,16.7,54.3,0,0,0,0,12.7,3.7,0,4.7,300,300,14649962_01977882_20041025_000000,14649962_01977882_20041025_000000,l5tmre_p095r074_20041022_dbgm5.img,3,676.5555556,979.6666667,1316.888889,2039.777778,3592,2921.666667,22.4207796,21.11871208,38.83138606,31.31126094,104.6135746,76.22044054,124.3333333,106.8888889,166.8888889,109.2222222,2.309401077,2.282515398,3.247030932,109.2222222,9
y,quil13,24/10/2002,144.3617902,-26.36560302,0,28.7,0,33,0,24.7,6,7.7,0,0,0,0,0,0,0,300,300,14436179_02636560_20021024_000000,14436179_02636560_20021024_000000,l7tmre_p095r078_20021025_dbgm5.img,1,629.4444444,1178.333333,2105.777778,2735.555556,3723.222222,3358.333333,11.55769211,14.8548533,42.3340624,28.6787227,29.31354551,38.82152896,166.4444444,106.3333333,125.5555556,107,2.948110925,0.942809042,2.753224821,107,9
n,glenhaven002,23/03/2018,149.80244,-26.18564,0.7,20.7,0,0,41.7,32,5.7,0,0.7,0.3,0,0,0,0,0,300,300,14980244_02618564_20180323_000000,14980244_02618564_20180323_000000,l8olre_p092r078_20180329_dbgm5.img,6,569.1111111,942,1067.555556,2972.111111,2782.222222,1752.777778,18.54989934,34.42867022,50.04245111,96.16819114,52.00379853,73.5221475,148.4444444,134.7777778,110.4444444,,3.593547029,2.042752923,0.496903995,,9
y,chat25,1/04/2005,145.4219318,-19.17466853,0.5,14,0,0,22.5,32.5,30.5,0.5,0.5,0.5,0,0,0,0,0,200,200,14542193_01917466_20050401_000000,14542193_01917466_20050401_000000,l5tmre_p095r073_20050331_dbgm5.img,1,1050.444444,1446.777778,1750.666667,3045.111111,3943.333333,2698.222222,216.8994191,247.7156873,237.5485915,220.9255503,172.6183974,129.4190247,118,125.2222222,155.4444444,107.2222222,4,3.583225666,4.00308523,107.2222222,9
y,suns0103,10/09/2005,153.1013103,-25.95227014,93.1,2,4.7,0,1.3,0.3,91.7,0,32,4.7,0,98.3,84.3,0.3,6.7,300,300,15310131_02595227_20050910_000000,15310131_02595227_20050910_000000,l7tmre_p089r078_20050920_dbgm6.img,10,336.7777778,406.3333333,289.6666667,3029.444444,1015.666667,368.1111111,19.08331312,36.17856947,23.12286026,58.29448442,70.60531928,42.68604884,100.7777778,188,110.1111111,125.2222222,1.872477727,3.590109871,3.984538017,125.2222222,9
